#List of considered 24,479 proteomes considered for NetFlax

GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000661895.1	Rubrobacter radiotolerans
GCF_000671395.1	Actibacterium atlanticum
GCF_000682695.1	Hyphomonas chukchiensis
GCF_000682715.1	Hyphomonas atlantica
GCF_000682755.1	Hyphomonas beringensis
GCF_000684975.1	Paraburkholderia acidipaludis NBRC 101816
GCF_000685035.1	Paraburkholderia ferrariae NBRC 106233
GCF_000685075.1	Paraburkholderia oxyphila NBRC 105797
GCF_000685155.1	Candidatus Methanoperedens nitroreducens
GCF_000685215.1	Hyphomonas jannaschiana VP2
GCF_000685235.1	Hyphomonas adhaerens MHS-3
GCF_000685255.1	Hyphomonas hirschiana VP5
GCF_000685275.1	Hyphomonas johnsonii MHS-2
GCF_000685295.1	Hyphomonas oceanitis SCH89
GCF_000685315.1	Hyphomonas polymorpha PS728
GCF_000685395.1	Candidatus Nitrosotenuis chungbukensis
GCF_000686045.1	Fodinicurvata fenggangensis DSM 21160
GCF_000686245.1	Mycoplasma pirum MPI25960
GCF_000686525.1	Desulfonatronovibrio hydrogenovorans DSM 9292
GCF_000686585.1	Mycoplasma lipofaciens ATCC 35015
GCF_000686645.1	Desulfofundulus thermocisternus DSM 10259
GCF_000686705.1	Clostridium hydrogeniformans DSM 21757
GCF_000686725.1	Clostridium akagii DSM 12554
GCF_000686885.1	Flavobacterium sasangense DSM 21067
GCF_000686905.1	Marinospirillum insulare DSM 21763
GCF_000687145.1	Thermoanaerobaculum aquaticum
GCF_000687165.1	Acidovorax oryzae ATCC 19882
GCF_000687535.1	Helicobacter rodentium ATCC 700285
GCF_000687555.1	[Clostridium] aerotolerans DSM 5434
GCF_000687735.1	Acholeplasma equifetale ATCC 29724
GCF_000687775.1	Mycoplasma felifaucium ATCC 43428
GCF_000687795.1	Mycoplasma testudinis ATCC 43263
GCF_000687815.1	Mycoplasma elephantis ATCC 51980
GCF_000687835.1	Acholeplasma modicum ATCC 29102
GCF_000687875.1	Acidocella facilis ATCC 35904
GCF_000687955.1	Clostridioides mangenotii LM2
GCF_000688235.1	Terasakiella pusilla DSM 6293
GCF_000688255.1	Simplicispira psychrophila DSM 11588
GCF_000688395.1	Haematomicrobium sanguinis DSM 21259
GCF_000688455.1	Acidobacterium ailaaui
GCF_000688515.1	Afifella pfennigii DSM 17143
GCF_000689175.1	Wolbachia endosymbiont of Glossina morsitans morsitans
GCF_000689255.1	Mycobacterium triplex
GCF_000689355.1	Bartonella tribocorum
GCF_000689395.1	Candidatus Phaeomarinobacter ectocarpi
GCF_000691225.1	Nitrincola lacisaponensis
GCF_000691805.2	Weissella oryzae SG25
GCF_000695095.2	Gemmatimonas phototrophica
GCF_000695255.1	Photobacterium galatheae
GCF_000695625.1	Amycolatopsis rifamycinica
GCF_000695795.1	Flavobacterium seoulense
GCF_000696185.1	Kitasatospora cheerisanensis KCTC 2395
GCF_000696365.2	Rickettsia buchneri
GCF_000696485.1	Halomonas campaniensis
GCF_000696575.1	Siccibacter colletis
GCF_000697965.2	Ensifer adhaerens
GCF_000698005.1	Clavibacter cf. michiganensis LMG 26808
GCF_000698785.1	Nitrososphaera viennensis EN76
GCF_000698925.1	Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930
GCF_000698945.1	Streptomyces wadayamensis
GCF_000699505.1	Rhodoluna lacicola
GCF_000700025.1	Halorubrum saccharovorum
GCF_000701405.1	Deinococcus marmoris DSM 12784
GCF_000701425.1	Deinococcus frigens DSM 12807
GCF_000701445.1	Brevundimonas bacteroides DSM 4726
GCF_000701485.1	Mycoplasma sturni DSM 22021
GCF_000701505.1	Dyadobacter crusticola DSM 16708
GCF_000701525.1	Mesoplasma grammopterae ATCC 49580
GCF_000701585.1	Acidiphilium angustum ATCC 35903
GCF_000701665.1	Agathobaculum desmolans ATCC 43058
GCF_000701785.1	Mycoplasma alvi ATCC 29626
GCF_000701805.1	Mycoplasma iners ATCC 19705
GCF_000701825.1	Mycoplasma collis ATCC 35278
GCF_000702445.1	Bryobacter aggregatus MPL3
GCF_000702505.1	Thermogemmatispora carboxidivorans
GCF_000702625.1	Exiguobacterium oxidotolerans JCM 12280
GCF_000702665.1	Desulfovibrio alcoholivorans DSM 5433
GCF_000702705.1	Mycoplasma simbae ATCC 49888
GCF_000702725.1	Mesoplasma photuris ATCC 49581
GCF_000702785.1	Mycoplasma primatum ATCC 25948
GCF_000705355.1	Rhizobium marinum
GCF_000706625.1	Bartonella koehlerae C-29
GCF_000706645.1	Bartonella rochalimae ATCC BAA-1498
GCF_000706725.1	Bacillus lehensis G1
GCF_000706765.1	Bifidobacterium indicum LMG 11587 = DSM 20214
GCF_000708045.1	Marinobacter nitratireducens
GCF_000708285.2	Pedobacter borealis DSM 19626
GCF_000708505.1	Bacillus azotoformans MEV2011
GCF_000708615.2	Chryseobacterium hispalense DSM 25574
GCF_000709085.1	Virgibacillus alimentarius
GCF_000709345.1	Polaromonas glacialis
GCF_000709435.1	Candidatus Arthromitus sp. SFB-mouse-NL
GCF_000709555.1	Candidatus Walczuchella monophlebidarum
GCF_000709935.2	Metabacillus indicus
GCF_000710505.1	Planktothrix agardhii NIVA-CYA 126/8
GCF_000710605.1	Haloterrigena jeotgali A29
GCF_000710615.1	Haladaptatus cibarius D43
GCF_000710755.1	Saccharopolyspora rectivirgula
GCF_000710775.1	Endozoicomonas elysicola
GCF_000711195.1	Thiomicrospira pelophila DSM 1534
GCF_000711215.1	Methanomicrobium mobile BP
GCF_000711225.1	Pelobacter seleniigenes DSM 18267
GCF_000711245.1	Polycyclovorans algicola TG408
GCF_000711295.1	Desulfohalovibrio reitneri
GCF_000711715.1	Sphingomonas astaxanthinifaciens DSM 22298
GCF_000711725.1	Roseomonas aerilata DSM 19363
GCF_000711735.1	Desulfovibrio frigidus DSM 17176
GCF_000711795.1	Vibrio pacinii DSM 19139
GCF_000711805.1	Vibrio rhizosphaerae DSM 18581
GCF_000711875.1	Andreprevotia chitinilytica DSM 18519
GCF_000711905.1	Methermicoccus shengliensis DSM 18856
GCF_000711955.1	Nevskia soli DSM 19509
GCF_000711975.1	Desulfohalotomaculum alkaliphilum DSM 12257
GCF_000711985.1	Pararheinheimera texasensis DSM 17496
GCF_000712035.1	Salinicoccus luteus DSM 17002
GCF_000712165.1	Ureaplasma canigenitalium ATCC 51252
GCF_000712185.1	Mycoplasma opalescens ATCC 27921
GCF_000712275.1	Sulfitobacter donghicola DSW-25 = KCTC 12864 = JCM 14565
GCF_000712595.1	Bacillus manliponensis
GCF_000714435.1	Exiguobacterium alkaliphilum 12/1
GCF_000714535.1	Thioclava pacifica DSM 10166
GCF_000714545.1	Thioclava indica
GCF_000714715.1	Candidatus Magnetobacterium casensis
GCF_000714815.1	Anditalea andensis
GCF_000714935.1	Tumebacillus flagellatus
GCF_000715015.1	Erythrobacter longus
GCF_000715205.1	Bacillus zhangzhouensis
GCF_000715845.1	Streptomyces monomycini
GCF_000715885.1	Glycomyces tenuis
GCF_000716025.1	Streptomyces baarnensis
GCF_000716095.1	Actinoalloteichus cyanogriseus
GCF_000716435.1	Streptomyces xylophagus
GCF_000716445.1	Streptomyces wedmorensis
GCF_000716525.1	Streptomyces graminis
GCF_000716545.1	Kitasatospora phosalacinea
GCF_000716715.1	Dactylosporangium aurantiacum
GCF_000716785.1	Amycolatopsis vancoresmycina
GCF_000716805.1	Streptomyces yerevanensis
GCF_000716875.1	Streptomyces novaecaesareae
GCF_000716935.1	Streptomyces alboviridis
GCF_000717025.1	Streptomyces atroolivaceus
GCF_000717055.1	Streptomyces iakyrus
GCF_000717135.1	Catenuloplanes japonicus
GCF_000717245.1	[Kitasatospora] papulosa
GCF_000717275.1	Kitasatospora arboriphila
GCF_000717335.1	Amycolatopsis jejuensis
GCF_000717405.1	Nocardia carnea
GCF_000717475.1	Desulfonatronum thiodismutans
GCF_000717585.1	Micromonospora globosa
GCF_000717595.1	Streptomyces flavochromogenes
GCF_000717645.1	Streptomyces californicus
GCF_000717725.1	Streptomyces pyridomyceticus
GCF_000717745.1	Streptomyces violens
GCF_000717965.1	Streptomyces purpeochromogenes
GCF_000717995.1	Streptomyces violaceorubidus
GCF_000718015.1	Streptomyces catenulae
GCF_000718025.1	Kitasatospora purpeofusca
GCF_000718085.1	Mycetocola saprophilus
GCF_000718165.1	Streptomyces fulvoviolaceus
GCF_000718255.1	Spirillospora albida
GCF_000718295.1	Streptomyces capuensis
GCF_000718305.1	Streptomyces niger
GCF_000718515.1	Micromonospora parva
GCF_000718595.1	Streptomyces bikiniensis
GCF_000718625.1	Streptomyces lavenduligriseus
GCF_000718635.1	Streptomyces varsoviensis
GCF_000718985.1	Streptomyces megasporus
GCF_000719095.1	Streptacidiphilus jeojiense
GCF_000719105.1	Streptomyces sclerotialus
GCF_000719135.1	Streptomyces avicenniae
GCF_000719265.1	Streptomyces roseoverticillatus
GCF_000720335.1	Marmoricola aequoreus
GCF_000720395.1	Streptomyces flavovirens
GCF_000720485.1	Streptomyces ochraceiscleroticus
GCF_000720925.1	Phycicoccus jejuensis
GCF_000720965.1	Actinocatenispora sera
GCF_000720995.1	Streptomyces celluloflavus
GCF_000721075.1	Streptosporangium amethystogenes
GCF_000721255.1	Streptomyces avellaneus
GCF_000721685.1	Streptomyces mediolani
GCF_000721705.1	Actinoplanes subtropicus
GCF_000722615.1	Pseudorhizobium pelagicum
GCF_000722635.1	Endozoicomonas numazuensis
GCF_000723185.1	Candidatus Nitrosotenuis uzonensis
GCF_000723205.1	Formosa agariphila KMM 3901
GCF_000723225.2	Wolbachia endosymbiont wPip_Mol of Culex molestus
GCF_000723385.1	Mycolicibacterium farcinogenes
GCF_000723805.1	Vibrio nigripulchritudo SO65
GCF_000723845.1	Haloferax prahovense
GCF_000723885.1	Paenibacillus camerounensis
GCF_000724085.1	Oceanobacillus manasiensis
GCF_000724485.1	Bacillus methanolicus MGA3
GCF_000724605.1	Actinotignum schaalii
GCF_000724625.1	Fimbriimonas ginsengisoli Gsoil 348
GCF_000725125.1	Streptomyces toyocaensis
GCF_000725365.1	Terribacillus goriensis
GCF_000725385.1	Dyella japonica A8
GCF_000725405.1	Dermacoccus nishinomiyaensis
GCF_000725425.1	Palaeococcus pacificus DY20341
GCF_000725465.1	Streptomyces bicolor
GCF_000725475.1	Streptomyces durhamensis
GCF_000725485.1	Nonomuraea candida
GCF_000725555.1	Streptomyces erythrochromogenes
GCF_000725725.1	Streptomyces xanthophaeus
GCF_000725745.1	Streptomyces aureocirculatus
GCF_000725785.1	Streptomyces flavovariabilis
GCF_000730165.1	Nitrospirillum amazonense CBAmc
GCF_000730245.1	endosymbiont of Acanthamoeba sp. UWC8
GCF_000730285.1	Candidatus Nitrososphaera evergladensis SR1
GCF_000731315.1	Neorhizobium galegae bv. orientalis str. HAMBI 540
GCF_000731675.1	Pseudomonas capeferrum
GCF_000731785.2	Candidatus Photodesmus katoptron
GCF_000731795.2	Candidatus Photodesmus blepharus
GCF_000731915.1	Ureaplasma diversum NCTC 246
GCF_000731955.1	Halomonas zincidurans B6
GCF_000732145.1	Corynebacterium crenatum
GCF_000732195.1	Rhizobium vignae
GCF_000732535.1	Salinisphaera hydrothermalis C41B8
GCF_000732635.1	Clostridium sulfidigenes
GCF_000732925.1	Amycolatopsis japonica
GCF_000732945.1	Corynebacterium atypicum
GCF_000733125.1	Parvularcula oceani
GCF_000733295.1	Archangium violaceum Cb vi76
GCF_000733725.1	Nitratireductor basaltis
GCF_000733765.1	Algiphilus aromaticivorans DG1253
GCF_000733845.1	Geobacillus vulcani PSS1
GCF_000733855.1	Methylomicrobium agile
GCF_000733865.1	Mycoplasma buteonis
GCF_000733935.1	Methylomarinum vadi
GCF_000734015.1	Thermodesulfobacterium commune DSM 2178
GCF_000734965.1	Trabulsiella guamensis ATCC 49490
GCF_000735045.1	Ferrovum myxofaciens
GCF_000737065.1	Thioclava atlantica
GCF_000737315.1	Hyalangium minutum
GCF_000737325.1	Sandaracinus amylolyticus
GCF_000737705.1	Chryseobacterium soli
GCF_000737785.1	Chryseobacterium luteum
GCF_000737865.1	Bifidobacterium coryneforme
GCF_000738005.1	Bifidobacterium crudilactis
GCF_000738435.1	Planktomarina temperata RCA23
GCF_000738775.1	Rhodococcus defluvii
GCF_000739045.1	Streptomyces luteus
GCF_000739065.1	Methanocaldococcus bathoardescens
GCF_000739085.1	Amycolatopsis methanolica 239
GCF_000739105.1	Streptomyces lividans TK24
GCF_000739435.1	Actinobacillus suis ATCC 33415
GCF_000739475.1	Borreliella valaisiana Tom4006
GCF_000739555.1	Halolamina rubra
GCF_000739575.1	Halobellus rufus
GCF_000739695.1	Tepidicaulis marinus
GCF_000739775.1	Paraburkholderia heleia NBRC 101817
GCF_000739995.1	Comamonas granuli NBRC 101663
GCF_000740055.1	Lactobacillus oryzae JCM 18671
GCF_000740785.1	Paenirhodobacter enshiensis
GCF_000741785.1	Bifidobacterium stellenboschense
GCF_000742475.1	Candidatus Hepatobacter penaei
GCF_000742835.1	Candidatus Paracaedibacter acanthamoebae
GCF_000743535.1	Arenimonas donghaensis DSM 18148 = HO3-R19
GCF_000743575.1	Devosia riboflavina
GCF_000743715.1	Palleronia rufa
GCF_000743945.1	Basilea psittacipulmonis DSM 24701
GCF_000744065.1	'Chrysanthemum coronarium' phytoplasma
GCF_000744105.1	Maribacter forsetii DSM 18668
GCF_000744185.1	Carnobacterium funditum DSM 5970
GCF_000744225.1	Kitasatospora mediocidica KCTC 9733
GCF_000744285.1	Carnobacterium pleistocenium FTR1
GCF_000744315.1	Methanosarcina soligelidi
GCF_000744375.1	Carnobacterium gallinarum DSM 4847
GCF_000744415.1	Ghiorsea bivora
GCF_000744435.1	Hippea jasoniae
GCF_000744505.1	Rhizobium alamii
GCF_000744655.1	Streptacidiphilus rugosus AM-16
GCF_000744735.1	Porticoccus hydrocarbonoclasticus MCTG13d
GCF_000744775.1	Thermorudis peleae
GCF_000744785.1	Kitasatospora azatica KCTC 9699
GCF_000744815.1	Streptacidiphilus oryzae TH49
GCF_000744885.1	Thermus amyloliquefaciens
GCF_000745065.1	Thermus caliditerrae
GCF_000745125.1	Carnobacterium jeotgali MS3
GCF_000745345.1	Streptomyces yeochonensis CN732
GCF_000745375.1	Methylobacter whittenburyi
GCF_000745425.1	Beijerinckia mobilis
GCF_000745455.1	Mesoaciditoga lauensis cd-1655R = DSM 25116
GCF_000745485.1	Methanobacterium veterum
GCF_000745835.1	Belnapia moabensis DSM 16746
GCF_000745845.1	Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933
GCF_000745855.1	Xenophilus azovorans DSM 13620
GCF_000745895.1	Stenoxybacter acetivorans DSM 19021
GCF_000745905.1	Ferrimicrobium acidiphilum DSM 19497
GCF_000745915.1	Deinococcus misasensis DSM 22328
GCF_000745955.1	Alysiella crassa DSM 2578
GCF_000745965.1	Edaphobacter aggregans DSM 19364
GCF_000745975.1	Desulfobacter vibrioformis DSM 8776
GCF_000746025.2	Thermoanaerosceptrum fracticalcis
GCF_000746075.1	Methanobacterium arcticum
GCF_000746085.1	Methylocapsa aurea
GCF_000746255.1	Thermodesulfobacterium hydrogeniphilum
GCF_000746845.1	Altibacter lentus
GCF_000747075.1	Arenimonas malthae CC-JY-1
GCF_000747135.1	Arenimonas oryziterrae DSM 21050 = YC6267
GCF_000747155.1	Arenimonas metalli CF5-1
GCF_000747245.1	Tetragenococcus muriaticus 3MR10-3
GCF_000747315.1	Corynebacterium ureicelerivorans
GCF_000747585.1	Melissococcus plutonius S1
GCF_000747665.1	Thermoanaerobacterium saccharolyticum
GCF_000747725.1	Acinetobacter gerneri
GCF_000749845.1	Pectobacterium betavasculorum
GCF_000750005.1	Geobacillus icigianus
GCF_000750515.1	Weissella ceti
GCF_000750955.1	Criblamydia sequanensis CRIB-18
GCF_000753735.1	Pseudidiomarina atlantica
GCF_000753795.1	Shewanella mangrovi
GCF_000754225.1	Cobetia amphilecti
GCF_000755145.1	Treponema putidum
GCF_000755245.1	Halococcus sediminicola
GCF_000755585.2	Arthrobacter alpinus
GCF_000755705.1	Candidatus Izimaplasma sp. HR1
GCF_000756655.1	Alcanivorax jadensis T9
GCF_000756665.1	Alcanivorax nanhaiticus
GCF_000756715.1	Jeotgalicoccus saudimassiliensis
GCF_000756775.1	Pseudomonas saudiphocaensis
GCF_000756815.1	Legionella massiliensis
GCF_000757425.2	Tatumella morbirosei
GCF_000757605.1	Candidatus Paracaedibacter symbiosus
GCF_000757725.1	Sphingobacterium deserti
GCF_000757785.1	Pluralibacter gergoviae
GCF_000757795.1	Methylobacterium oryzae CBMB20
GCF_000757825.1	Cedecea neteri
GCF_000757885.1	Paenibacillus wynnii
GCF_000757905.1	Arsenophonus endosymbiont str. Hangzhou of Nilaparvata lugens
GCF_000758165.1	Spirochaeta lutea
GCF_000758665.1	Paenibacillus borealis
GCF_000758685.1	Paenibacillus stellifer
GCF_000758705.1	Paenibacillus graminis
GCF_000758965.1	Corynebacterium freneyi DNF00450
GCF_000759025.1	Phaeodactylibacter xiamenensis
GCF_000759075.1	Prevotella histicola JCM 15637 = DNF00424
GCF_000759345.1	Halomonas xinjiangensis
GCF_000759475.1	Pantoea rwandensis
GCF_000759535.1	Pseudomonas cremoricolorata
GCF_000759715.1	Demequina mangrovi
GCF_000759995.1	Acinetobacter tjernbergiae
GCF_000760695.4	Tolypothrix bouteillei VB521301
GCF_000760905.2	Rhodococcus fascians A21d2
GCF_000761155.1	Pseudomonas rhizosphaerae
GCF_000761215.1	Streptomyces glaucescens
GCF_000761445.1	Oleiagrimonas soli
GCF_000761475.1	Chromohalobacter israelensis
GCF_000761485.1	Modestobacter caceresii
GCF_000761495.1	Acinetobacter idrijaensis
GCF_000762845.2	Helicobacter japonicus
GCF_000763135.2	Helicobacter jaachi
GCF_000763295.1	Thalassospira australica
GCF_000763375.1	Microbacterium profundi
GCF_000763575.1	Thermoanaerobacter kivui
GCF_000763805.1	Paracoccus sphaerophysae
GCF_000764025.1	Pseudohaliea rubra DSM 19751
GCF_000764535.1	Sphingomonas taxi
GCF_000764645.1	Aeromonas finlandensis
GCF_000764655.1	Aeromonas aquatica
GCF_000764665.1	Aeromonas lacus
GCF_000765805.2	Helicobacter muridarum
GCF_000765825.2	Helicobacter magdeburgensis
GCF_000765885.2	Helicobacter trogontum
GCF_000766885.2	Corynebacterium camporealensis
GCF_000766945.1	Cellvibrio mixtus subsp. mixtus J3-8
GCF_000767055.1	Corynebacterium doosanense CAU 212 = DSM 45436
GCF_000767165.1	Cellulomonas bogoriensis 69B4 = DSM 16987
GCF_000767255.1	Corynebacterium auriscanis
GCF_000767275.2	Fervidobacterium islandicum
GCF_000767465.1	Novosphingobium pentaromativorans US6-1
GCF_000767835.1	Streptococcus sinensis
GCF_000768055.1	Alkalispirochaeta odontotermitis
GCF_000768315.1	Pseudooceanicola atlanticus
GCF_000768335.1	Lysobacter arseniciresistens ZS79
GCF_000768345.1	Lysobacter concretionis Ko07 = DSM 16239
GCF_000768355.1	Lysobacter daejeonensis GH1-9
GCF_000768685.1	Knoellia subterranea KCTC 19937
GCF_000768695.1	Knoellia aerolata DSM 18566
GCF_000768705.1	Knoellia sinensis KCTC 19936
GCF_000769115.1	Porphyromonas canoris
GCF_000769135.1	Porphyromonas gingivicanis
GCF_000769655.1	Thermococcus eurythermalis
GCF_000769895.1	Flavobacterium enshiense DK69
GCF_000770305.1	Erwinia oleae
GCF_000770585.1	Legionella norrlandica
GCF_000770675.1	Pontibacillus chungwhensis BH030062
GCF_000770795.1	Lysobacter dokdonensis DS-58
GCF_000770925.1	Bifidobacterium ruminantium DSM 6489
GCF_000771005.1	Bifidobacterium thermacidophilum subsp. thermacidophilum DSM 15837
GCF_000771045.1	Bifidobacterium porcinum DSM 17755
GCF_000771085.1	Bifidobacterium bombi DSM 19703
GCF_000771245.1	Bifidobacterium minimum DSM 20102
GCF_000771365.1	Bifidobacterium magnum DSM 20222
GCF_000771465.1	Bifidobacterium cuniculi DSM 20435
GCF_000771625.1	Bifidobacterium saguini DSM 23967
GCF_000771645.1	Bifidobacterium biavatii DSM 23969
GCF_000771745.2	Thermus filiformis
GCF_000771895.1	Gallibacterium genomosp. 2
GCF_000772105.1	Vibrio tubiashii ATCC 19109
GCF_000772535.1	Chelonobacter oris
GCF_000773975.1	Erwinia typographi
GCF_000775285.1	Neosynechococcus sphagnicola sy1
GCF_000775615.1	Pontibacillus litoralis JSM 072002
GCF_000784355.1	Methanolacinia paynteri
GCF_000785105.2	Lactobacillus curieae
GCF_000785495.1	Pimelobacter simplex
GCF_000785575.1	Vibrio caribbeanicus
GCF_000785705.2	Methylomonas denitrificans
GCF_000785985.1	Actinoplanes utahensis
GCF_000787375.1	Alkalihalobacillus okhensis
GCF_000787715.1	Sphingomonas parapaucimobilis NBRC 15100
GCF_000787755.1	Streptacidiphilus albus
GCF_000787775.1	Streptacidiphilus carbonis
GCF_000787815.1	Streptacidiphilus neutrinimicus
GCF_000787835.1	Streptacidiphilus melanogenes
GCF_000787855.1	Streptacidiphilus anmyonensis
GCF_000788395.1	Pseudoalteromonas piratica
GCF_000789235.1	Flaviramulus ichthyoenteri Th78
GCF_000789255.1	Geoglobus acetivorans
GCF_000797445.1	Lacinutrix jangbogonensis
GCF_000797465.1	Psychroserpens jangbogonensis
GCF_000799595.1	Paenibacillus chondroitinus
GCF_000800295.1	Parvimonas micra
GCF_000800395.1	Deinococcus swuensis
GCF_000800805.1	Candidatus Methanoplasma termitum
GCF_000801295.1	endosymbiont of unidentified scaly snail isolate Monju
GCF_000802205.1	Candidatus Nitrosocosmicus oleophilus
GCF_000802225.1	Novosphingobium malaysiense
GCF_000802235.1	Sinomonas humi
GCF_000802305.1	Microbacterium mangrovi
GCF_000802365.1	Xanthomonas cannabis pv. cannabis
GCF_000802385.1	Croceibacterium mercuriale
GCF_000803215.1	Pectobacterium fontis
GCF_000803325.1	Chrysanthemum yellows phytoplasma
GCF_000803625.1	Candidatus Nanosynbacter lyticus
GCF_000803645.1	Sphingopyxis fribergensis
GCF_000807275.1	Frischella perrara
GCF_000807775.2	Pandoraea fibrosis
GCF_000807855.2	Flammeovirga pacifica
GCF_000808015.1	Terrisporobacter othiniensis
GCF_000808575.1	Alteromonas marina
GCF_000812185.1	Candidatus Nitrosopelagicus brevis
GCF_000812585.1	Chromobacterium piscinae
GCF_000812665.2	Halocynthiibacter arcticus
GCF_000812685.1	Halocynthiibacter namhaensis
GCF_000812875.1	Chryseobacterium solincola
GCF_000812965.1	Pedobacter kyungheensis
GCF_000813345.1	Sulfurospirillum arsenophilum NBRC 109478
GCF_000813765.1	Brevundimonas nasdae
GCF_000813825.1	Chryseobacterium taiwanense
GCF_000814475.1	Flavihumibacter solisilvae
GCF_000815025.1	Coxiella endosymbiont of Amblyomma americanum
GCF_000815105.2	Pandoraea pulmonicola
GCF_000815225.1	Allofrancisella guangzhouensis
GCF_000815465.1	Candidatus Jidaibacter acanthamoeba
GCF_000815495.1	Shigella dysenteriae S6205
GCF_000816105.1	Thermococcus guaymasensis DSM 11113
GCF_000816145.1	Pseudothermotoga hypogea DSM 11164 = NBRC 106472
GCF_000816265.1	Campylobacter subantarcticus LMG 24374
